chr	pos_g	pos_phy
10	0	278447
10	0	299982
10	0	318493
10	0	318567
10	0	318605
10	0	415560
10	0	445837
10	0	595175
10	0	622661
10	0	622932
10	0	623763
10	0	623828
10	8.93188772620009e-05	623834
10	8.93188772620009e-05	625189
10	0.00537435143095795	625206
10	0.00537435143095795	626139
10	0.00537435143095795	626196
10	0.0100142587693133	626490
10	0.0152299599080195	626494
10	0.0152840663679272	628257
10	0.0152840663679272	628312
10	0.0153364344250513	628554
10	0.0153906714736549	629158
10	0.0153906714736549	629187
10	0.0153906714736549	632312
10	0.0153906714736549	632475
10	0.0153906714736549	637507
10	0.0153906714736549	637710
10	0.0203744592187538	670696
10	0.0204148530126998	670726
10	0.0204548051932043	670738
10	0.0204548051932043	687495
10	0.0205066230340962	687576
10	0.0205561148230732	687580
10	0.0205561148230732	687844
10	0.0206064027482139	687845
10	0.0206563985072086	687914
10	0.0207043435119381	687977
10	0.0207383361853854	765825
10	0.0207383361853854	766061
10	0.0257426030430858	766093
10	0.0257426030430858	766147
10	0.0257760939261526	767132
10	0.0307673303443217	767156
10	0.0356161890726594	767205
10	0.035668537513049	767226
10	0.0357214816577506	767266
10	0.0357214816577506	767580
10	0.0399884436016952	769680
10	0.0399884436016952	771250
10	0.0443495658708638	960438
10	0.0443495658708638	970513
10	0.0443495658708638	970526
10	0.0489581717242942	1017966
10	0.0489581717242942	1019500
10	0.052581572105642	1019564
10	0.0526574397786344	1024230
10	0.052730817926925	1024305
10	0.0528047390891685	1024358
10	0.0575963207436682	1052209
10	0.0575963207436682	1052328
10	0.0575963207436682	1052585
10	0.0627957598938393	1052609
10	0.0628802704915309	1052622
10	0.0628802704915309	1052846
10	0.0628802704915309	1052858
10	0.0628802704915309	1052883
10	0.0681314239024454	1052885
10	0.0681314239024454	1052924
10	0.0734723404575349	1052934
10	0.0734723404575349	1053091
10	0.0786831516276605	1053101
10	0.0839992108424659	1053168
10	0.0839992108424659	1053934
10	0.0839992108424659	1053940
10	0.0844550772157122	1080630
10	0.0914577965234492	1086149
10	0.0914577965234492	1086319
10	0.0957904413593148	1136874
10	0.0957904413593148	1137801
10	0.0957904413593148	1141245
10	0.0997636924578823	1156786
10	0.0997636924578823	1157378
10	0.0998807403000005	1157470
10	0.1	1157551
10	0.1	1389557
10	0.1	1414562
10	0.1	1414611
10	0.1	1414694
10	0.1	1414857
10	0.1	1415604
10	0.1	1417727
10	0.100093241972138	1417804
10	0.100136758233836	1419746
10	0.100136758233836	1420097
10	0.100136758233836	1420238
10	0.100136758233836	1420273
10	0.100136758233836	1421408
10	0.100136758233836	1421469
10	0.100136758233836	1421536
10	0.100136758233836	1447541
10	0.100136758233836	1447556
10	0.100136758233836	1496868
10	0.100224519220867	1496979
10	0.141757657107155	1498052
10	0.157070017645161	1498132
10	0.191772006673578	1537401
10	0.191772006673578	1537515
10	0.191772006673578	1538265
10	0.191772006673578	1538377
10	0.2	1539669
10	0.2	1544988
10	0.2	1545039
10	0.2	1545673
10	0.2	1545691
10	0.2	1545711
10	0.2	1546247
10	0.2	1552725
10	0.2	1553546
10	0.200377717192012	1553608
10	0.218533961579254	1553620
10	0.218533961579254	1553649
10	0.218533961579254	1560709
10	0.218533961579254	1560888
10	0.218533961579254	1632955
10	0.218533961579254	1632983
10	0.218533961579254	1633008
10	0.23267928880678	1633129
10	0.256886535001749	1633136
10	0.278306652623958	1633416
10	0.3	1633571
10	0.3	1634443
10	0.3	1634510
10	0.3	1634686
10	0.3	1634734
10	0.3	1634800
10	0.3	1635408
10	0.3	1679658
10	0.3	1680852
10	0.6	1729933
10	1.01953697106478	1730918
10	1.01953697106478	1740264
10	1.01953697106478	1740389
10	1.01953697106478	1740516
10	1.01953697106478	1740660
10	1.01953697106478	1778669
10	2.04417543636727	1778687
10	2.05271074853889	1778868
10	2.05271074853889	1779723
10	2.05271074853889	1780250
10	2.05271074853889	1780329
10	2.05271074853889	1781871
10	2.08020611533805	1785056
10	2.1	1785133
10	2.1	1785140
10	2.1	1906837
10	2.1	1906922
10	2.9	1951507
10	2.9	1951519
10	2.9	1958417
10	3.5	1958477
10	3.5	2014462
10	3.5	2017624
10	3.60405066844352	2017652
10	3.60405066844352	2017722
10	3.60405066844352	2017773
10	3.63627015460627	2017821
10	3.6696203830162	2017827
10	3.95920230680744	2023351
10	4.1	2023949
10	4.1	2023984
10	4.1	2030544
10	4.1	2030567
10	4.1	2030605
10	4.1	2030609
10	4.1	2030614
10	4.1	2042671
10	4.1	2042792
10	4.1	2042828
10	4.23784571575456	2042851
10	4.37796178588658	2042853
10	4.50984090306735	2042925
10	4.72064687316551	2042927
10	4.8702440550123	2042960
10	4.8702440550123	2044202
10	4.8702440550123	2045701
10	4.8702440550123	2045706
10	4.94604787258171	2047951
10	4.94604787258171	2047974
10	4.98455374470106	2048294
10	5.02743599733689	2048331
10	5.09067406815761	2133014
10	5.18199349553075	2228396
10	5.18603323139213	2228510
10	5.3	2228549
10	5.3	2253637
10	5.54142717953644	2253656
10	5.5711201987073	2255410
10	5.6	2255493
10	7.1	2451848
10	7.1	2455802
10	7.48673886261167	2455861
10	7.50025426370967	2456786
10	7.5991098924662	2457281
10	7.5991098924662	2457316
10	7.6	2457340
10	7.6	2464492
10	7.6	2464524
10	7.6	2464539
10	8.2	2655969
10	8.2	2655981
10	8.55996611625852	2656005
10	8.95590229647463	2656152
10	8.97162216385788	2656190
10	9.3	2656228
10	9.3	2656461
10	9.6	2663070
10	9.83610688840646	2663119
10	10.8618934046433	2663130
10	11.0532203125426	2663151
10	11.2257730726822	2663158
10	11.2257730726822	2793363
10	11.9	2794303
10	12.3	2841018
10	12.3	2841162
10	12.3	2841258
10	12.3	2841347
10	12.3	2841357
10	12.3	2841406
10	12.3	2849020
10	12.3	2987836
10	12.3	2988189
10	12.3	2988422
10	12.3	2988548
10	12.3	2988748
10	12.3	2988805
10	12.3	2988811
10	12.7	2991044
10	13	3067751
10	13	3067940
10	13	3067981
10	13	3089399
10	13.0019455308194	3090007
10	13.0066818964754	3090042
10	13.0066818964754	3093551
10	13.0066818964754	3132241
10	13.0066818964754	3132710
10	13.0306523286794	3139549
10	13.0541030886808	3143861
10	13.0777270964855	3144220
10	13.0998680660655	3145237
10	13.1	3145950
10	13.1	3163715
10	13.1	3166970
10	14.9	3386235
10	14.9	3991396
10	15	3992740
10	15	4017876
10	15	4021448
10	15.1857001792675	4022378
10	15.2596221230734	4022993
10	15.2596221230734	4023052
